Index,Date,Trap,NumMosquitos,WnvPresent,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0,2007-05-29,T002,1.0,0.0,0.395308195783,0.495562038119,-1.64742158765,0.159200475587,-1.65779662381,-0.428259521939,0.462528357749,0.838435489386
1,2007-05-29,T002,1.0,0.0,0.388920336615,0.445681790425,-1.66885262761,0.0901210503741,-1.72755240255,-0.412688856783,0.538848148756,-0.348423371056
2,2007-05-29,T007,1.0,0.0,0.388888827985,0.445558069475,-1.66915940997,0.0903956210607,-1.7275681979,-0.412689206315,0.538822637626,-0.348319010934
3,2007-05-29,T015,1.0,0.0,0.457615756161,0.720232326034,-0.902805555166,-0.456555147112,-1.63094397396,-0.475044911137,0.442450449597,0.875839240759
4,2007-05-29,T015,4.0,0.0,0.451227896992,0.67035207834,-0.924236595126,-0.525634572325,-1.7006997527,-0.45947424598,0.518770240604,-0.311019619684
5,2007-05-29,T045,2.0,0.0,0.451975920596,0.672442487394,-0.919222517423,-0.529260679782,-1.70062849051,-0.459702472865,0.518765936311,-0.311421251527
6,2007-05-29,T046,1.0,0.0,0.452127048601,0.672883439344,-0.918159614308,-0.530056862571,-1.7006074166,-0.459743383797,0.518778474305,-0.311548027654
7,2007-05-29,T048,1.0,0.0,0.458601524192,0.723022534945,-0.896102979864,-0.461454673121,-1.63083736314,-0.475335785777,0.442470280427,0.875223160044
8,2007-05-29,T048,2.0,0.0,0.452213665024,0.673142287252,-0.917534019824,-0.530534098334,-1.70059314188,-0.459765120621,0.518790071434,-0.311635700399
9,2007-05-29,T049,1.0,0.0,0.452105998888,0.672821161849,-0.918309964053,-0.529943029743,-1.70061066031,-0.459737925765,0.518776108522,-0.311528261545
10,2007-05-29,T050,1.0,0.0,0.458273380231,0.722078160105,-0.898375854341,-0.459770543226,-1.63087843522,-0.475243306981,0.442452466585,0.87546640296
11,2007-05-29,T054,2.0,0.0,0.458484180151,0.722650950131,-0.897006536729,-0.460736715765,-1.63086420182,-0.475312178275,0.442439507607,0.875393196056
